FREQ	Mmin_vec
 5.00000000000000E+008	 -3.85142794940288E+001 -2.46264174565021E+001 -3.75320549824993E+001 -2.46045019093082E+001 
 6.00000000000000E+008	 -3.49350883216125E+001 -2.91160408948055E+001 -3.36612584241271E+001 -2.91244252859009E+001 
 7.00000000000000E+008	 -3.07232215476374E+001 -3.33618923705430E+001 -2.91002926421889E+001 -3.34183633538315E+001 
 8.00000000000000E+008	 -2.58954505543233E+001 -3.73234786560665E+001 -2.38505555050641E+001 -3.74449151046507E+001 
 9.00000000000000E+008	 -2.04712145137647E+001 -4.09615225669497E+001 -1.79142709857032E+001 -4.11614590045055E+001 
 1.00000000000000E+009	 -1.44726080523206E+001 -4.42381804052261E+001 -1.12947341887913E+001 -4.45239831306540E+001 
 1.10000000000000E+009	 -7.92436438105966E+000 -4.71172813365474E+001 -3.99661664724342E+000 -4.74869165492092E+001 
 1.20000000000000E+009	 -8.53831730057496E-001 -4.95645939512063E+001  3.97365348433738E+000 -5.00029644440240E+001 
 1.30000000000000E+009	  6.70906008911054E+000 -5.15481263697120E+001  1.26074173939534E+001 -5.20229510794044E+001 
 1.40000000000000E+009	  1.47318476329341E+001 -5.30384675569464E+001  2.18931932317282E+001 -5.34956769756411E+001 
 1.50000000000000E+009	  2.31796030351808E+001 -5.40091789946965E+001  3.18159337538513E+001 -5.43678000253872E+001 
 1.60000000000000E+009	  3.20150342414341E+001 -5.44372474749741E+001  4.23560932744383E+001 -5.45837551495872E+001 
 1.70000000000000E+009	  4.11986303379974E+001 -5.43036113762078E+001  5.34884517512237E+001 -5.40857341490016E+001 
 1.80000000000000E+009	  5.06888721509287E+001 -5.35937740817363E+001  6.51806296295001E+001 -5.28137575878595E+001 
 1.90000000000000E+009	  6.04425369035334E+001 -5.22985186435987E+001  7.73912099481024E+001 -5.07058851481379E+001 
 2.00000000000000E+009	  7.04151377596336E+001 -5.04147363865626E+001  9.00673645044510E+001 -4.76986316733748E+001 
 2.10000000000000E+009	  8.05615556883332E+001 -4.79463771478755E+001  1.03141860024125E+002 -4.37276853639936E+001 
 2.20000000000000E+009	  9.08369435339279E+001 -4.49055173193705E+001  1.16529301922619E+002 -3.87290650566883E+001 
 2.30000000000000E+009	  1.01198011544524E+002 -4.13135190028686E+001  1.30121465126823E+002 -3.26409081127703E+001 
 2.40000000000000E+009	  1.11604840003668E+002 -3.72022118912705E+001  1.43781578541748E+002 -2.54061511300043E+001 
 2.50000000000000E+009	  1.22023405402913E+002 -3.26149578460636E+001  1.57337499174063E+002 -1.69764510544499E+001 
 2.60000000000000E+009	  1.32429043048907E+002 -2.76073416726927E+001  1.70573879199906E+002 -7.31778431265825E+000 
 2.70000000000000E+009	  1.42811080236234E+002 -2.22470538296717E+001  1.83223764520480E+002  3.58177185873974E+000 
 2.80000000000000E+009	  1.53178817991565E+002 -1.66122819876371E+001  1.94960660564305E+002  1.57015905670448E+001 
 2.90000000000000E+009	  1.63568842311271E+002 -1.07876261497463E+001  2.05393054293996E+002  2.89751134369777E+001 
 3.00000000000000E+009	  1.74053200962060E+002 -4.85628182259838E+000  2.14064707246574E+002  4.32738723739074E+001 
