FREQ	S1:Mag[M4(0,0)]	S1:T1:Mag[M4(0,0)]	S1:T2:Mag[M4(0,0)]
 5.00000000000000E+007	 5.01760005272517E+000	 4.64368917891282E+000	 4.53161996063173E+000
 1.00000000000000E+008	 5.54403894308842E+000	 4.75540459314346E+000	 4.65070482917738E+000
 1.50000000000000E+008	 6.37812255811520E+000	 4.94668250162744E+000	 4.80760646421845E+000
 2.00000000000000E+008	 7.39494988327788E+000	 5.17449716487357E+000	 4.97732927174825E+000
 2.50000000000000E+008	 8.53536684890222E+000	 5.43208185560423E+000	 5.17404518880641E+000
 3.00000000000000E+008	 9.74819446219746E+000	 5.71677782791502E+000	 5.39150271562343E+000
 3.50000000000000E+008	 1.09934854813904E+001	 6.02701273752863E+000	 5.62713468780662E+000
 4.00000000000000E+008	 1.22383711900712E+001	 6.36171327991454E+000	 5.87905705400751E+000
 4.50000000000000E+008	 1.34545870474286E+001	 6.72012650005171E+000	 6.14563140045389E+000
 5.00000000000000E+008	 1.46172525799915E+001	 7.10173736578499E+000	 6.42542400238247E+000
 5.50000000000000E+008	 1.57044130582066E+001	 7.50621639921167E+000	 6.71718792375337E+000
 6.00000000000000E+008	 1.66970790242765E+001	 7.93337945184870E+000	 7.01984598338105E+000
 6.50000000000000E+008	 1.75795880005274E+001	 8.38315498684836E+000	 7.33247273691440E+000
 7.00000000000000E+008	 1.83401709812714E+001	 8.85555702108632E+000	 7.65427670373056E+000
 7.50000000000000E+008	 1.89716403542202E+001	 9.35066264993351E+000	 7.98458344598610E+000
 8.00000000000000E+008	 1.94721319331469E+001	 9.86859377604909E+000	 8.32281998059648E+000
 8.50000000000000E+008	 1.98458350173383E+001	 1.04095023279204E+001	 8.66850094256616E+000
 9.00000000000000E+008	 2.01036330541840E+001	 1.09735585082070E+001	 9.02121631005951E+000
 9.50000000000000E+008	 2.02635535347007E+001	 1.15609416269821E+001	 9.38062078085681E+000
 1.00000000000000E+009	 2.03508920430712E+001	 1.21718330270115E+001	 9.74642459615841E+000
 1.05000000000000E+009	 2.03978424202307E+001	 1.28064108003136E+001	 1.01183856554735E+001
 1.10000000000000E+009	 2.04424560145791E+001	 1.34648459499737E+001	 1.04963027860356E+001
 1.15000000000000E+009	 2.05268052468645E+001	 1.41472997116527E+001	 1.08800099878562E+001
 1.20000000000000E+009	 2.06943749699751E+001	 1.48539218073435E+001	 1.12693715245508E+001
 1.25000000000000E+009	 2.09869442646390E+001	 1.55848494597547E+001	 1.16642777421634E+001
 1.30000000000000E+009	 2.14414678537679E+001	 1.63402070139400E+001	 1.20646414860324E+001
 1.35000000000000E+009	 2.20875732060775E+001	 1.71201059988436E+001	 1.24703950489046E+001
 1.40000000000000E+009	 2.29461464733039E+001	 1.79246455861943E+001	 1.28814875528439E+001
 1.45000000000000E+009	 2.40291285198697E+001	 1.87539133181990E+001	 1.32978827011142E+001
 1.50000000000000E+009	 2.53402688068309E+001	 1.96079860706856E+001	 1.37195568501092E+001
 1.55000000000000E+009	 2.68763775157335E+001	 2.04869311842311E+001	 1.41464973435833E+001
 1.60000000000000E+009	 2.86286288794590E+001	 2.13908077470738E+001	 1.45787010752052E+001
 1.65000000000000E+009	 3.05836221631621E+001	 2.23196679798680E+001	 1.50161732461452E+001
 1.70000000000000E+009	 3.27240869698679E+001	 2.32735587267536E+001	 1.54589262862330E+001
 1.75000000000000E+009	 3.50292549938339E+001	 2.42525230226134E+001	 1.59069789112440E+001
 1.80000000000000E+009	 3.74749954774116E+001	 2.52566017441902E+001	 1.63603553081775E+001
 1.85000000000000E+009	 4.00338418372395E+001	 2.62858353366974E+001	 1.68190844169531E+001
 1.90000000000000E+009	 4.26750438065856E+001	 2.73402656173004E+001	 1.72831993043038E+001
 1.95000000000000E+009	 4.53647784600273E+001	 2.84199376679798E+001	 1.77527366127733E+001
 2.00000000000000E+009	 4.80666521307635E+001	 2.95249018230765E+001	 1.82277360761018E+001
