FREQ	S1:DB[AM(0,0)]
 5.00000000000000E+007	 4.09779633979581E+001
 1.00000000000000E+008	 3.56768880778563E+001
 1.50000000000000E+008	 3.27356111507483E+001
 2.00000000000000E+008	 3.08093621480307E+001
 2.50000000000000E+008	 2.94253676371155E+001
 3.00000000000000E+008	 2.83816839698810E+001
 3.50000000000000E+008	 2.75757440927790E+001
 4.00000000000000E+008	 2.69510218605898E+001
 4.50000000000000E+008	 2.64745989646599E+001
 5.00000000000000E+008	 2.61267726065182E+001
 5.50000000000000E+008	 2.58958068973142E+001
 6.00000000000000E+008	 2.57750258462139E+001
 6.50000000000000E+008	 2.57609601472212E+001
 7.00000000000000E+008	 2.58518124189172E+001
 7.50000000000000E+008	 2.60456258987589E+001
 8.00000000000000E+008	 2.63373828781024E+001
 8.50000000000000E+008	 2.67138704539390E+001
 9.00000000000000E+008	 2.71447771065853E+001
 9.50000000000000E+008	 2.75693753186225E+001
 1.00000000000000E+009	 2.78840304481847E+001
 1.05000000000000E+009	 2.79504318353093E+001
 1.10000000000000E+009	 2.76510790665616E+001
 1.15000000000000E+009	 2.69691198570486E+001
 1.20000000000000E+009	 2.60035078339339E+001
 1.25000000000000E+009	 2.48982553164702E+001
 1.30000000000000E+009	 2.37714784759973E+001
 1.35000000000000E+009	 2.26938784389477E+001
 1.40000000000000E+009	 2.16979674859645E+001
 1.45000000000000E+009	 2.07929718816577E+001
 1.50000000000000E+009	 1.99760820501163E+001
 1.55000000000000E+009	 1.92393104759135E+001
 1.60000000000000E+009	 1.85732533063674E+001
 1.65000000000000E+009	 1.79689672270552E+001
 1.70000000000000E+009	 1.74187737568738E+001
 1.75000000000000E+009	 1.69164873853492E+001
 1.80000000000000E+009	 1.64573569301263E+001
 1.85000000000000E+009	 1.60378803558381E+001
 1.90000000000000E+009	 1.56555752800948E+001
 1.95000000000000E+009	 1.53087417995052E+001
 2.00000000000000E+009	 1.49962283271211E+001
